# ra dec Gmag rv rvErr parallax ntransits
 89.95719225 -66.70294807  13.42219100  57.84429109  19.35707500   1.93383300         179
 89.92421863 -66.76285060  13.05284300  57.04334038   8.09357776   3.14426475         173
 89.90246915 -66.58763366  13.52025900  21.71795104  16.78036210   2.77362314         186
 89.67425723 -66.48948241  13.69848900  18.54494946  17.54007709   2.67255293          77
 88.44580446 -66.65491356  12.58585100  23.41929641  10.68274950   2.38466249         177
 87.98156729 -66.57670305  12.67230000   8.72184571  12.94464115   1.29186265          65
 84.96585170 -66.39520919  13.40544900  28.02808419  18.18254157   1.36551434          83
 83.13470361 -67.23318425  11.97448500  14.87563562  19.91423319   1.38757946          22
 81.85866059 -66.85636010  13.50645600  31.11871292  14.35483702   1.28626800          42
 84.18014584 -66.57019561  13.03918600  16.87136746  16.42870266   1.24804746          82
 82.63391284 -66.32965300  13.05864100  29.51219038  17.33749739   1.72937175          48
 81.30970306 -66.54687726  12.33241500  -3.57903747  17.91714335   1.88827268          45
 80.59677711 -66.73115190  13.33999800 100.11031456  18.55257763   1.52322677          45
 80.89641024 -66.84935283  13.40583300  20.00719364  18.29322455   1.52075287          30
 79.35622538 -66.30373002  11.69273400   2.70750985  14.64657527   2.09913540          39
 80.80580330 -66.55400715  13.04034500  58.90091960  19.60240863   2.11103424          52
 81.28303069 -66.37782283  13.04070000  15.02305335  18.83140943   1.79966070          38
 80.77802005 -66.17264372  12.60740900  84.85963161  18.40189574   2.00529268          55
 79.85494384 -65.55657780  12.93913200  23.37154391  17.81161049   2.29512964          45
 79.11857494 -65.67607115  12.87128800  21.31350925  15.54078977   1.35093322          36
 11.60124459  49.61370167  11.64416500  -8.34393860  19.48264534   1.19815614          21
 11.97995760  49.86222356  11.89641000  -5.87039830  19.42404176   1.40907735          21
267.91472732  21.96750120  13.26625250 -121.20690845  19.56102840   0.53609029          29
243.27290145 -36.12695662  14.12610600 -21.25006019  17.96880619   1.76555015          31
243.53612362 -35.92568989  14.47553300 -86.19648371  18.32145740   0.06701603          31
243.40429796 -35.57129696  14.39488200 -64.97278197  18.16063438   0.28784867          28
148.73294235 -32.16344782  13.19641900  18.38153376  17.14223709   0.45827443          28
169.98830586 -45.97550121  12.34223900  17.45520586  17.17431513   1.16349368          27
273.77682938  21.17446924  12.05471300  20.66571819  19.93753590   1.47535199          48
275.29470962  21.77422819  10.25301900 -26.86267027  19.55548109   5.25924785          35
273.52383321  21.41479369  11.21747700   3.23761370  15.47897272   1.84267527          42
 43.52792574 -29.15639731  12.97169700  36.77069613  18.62136517   1.54908766          25
237.55973581  24.30435990  12.11324400  10.14072520  18.58296725   1.16458707          33
 15.31492323 -32.59919140  13.05064900 -15.82550137  19.10937220   4.24396887          26
198.35861756 -57.52113415  13.86127700  -2.09211899  18.70360523   0.19821048          24
121.83414434 -10.20037330  12.89102800  55.32989881  19.80449246   1.06557952          38
195.09881982  43.38793775  13.07233700 -30.67059381  17.46443123   2.99717498          32
204.22063817 -56.07172283  12.04347900  24.87751573  16.94109478   1.31315930          27
356.81274317 -50.57035491  12.75408000  67.03534181  19.81504790   2.22645131          21
321.68616459  32.56565374  12.81692900 -29.03489264  18.74239850   1.53271632          33
322.30681483  33.56144120  13.34011200 -124.62962983  17.97882058   0.49171183          29
318.69479764  31.92915623  11.77483750 -29.55642687  17.07550960   1.18748996          29
179.84676913 -14.92484897  12.51375700 -13.95408257  16.51567405   1.42444091          30
  5.97033563  37.08471703  11.68398100 -26.48033625  16.12544812   1.33002858          34
270.14655319  19.67863551  12.94925800  44.71717676  18.46688911   0.27145909          28
271.39592405  21.83307279  12.81243600  19.49645043  18.54817890   1.28383385          32
270.84359483  21.90031719  11.24501700 -47.00720941  16.78206045   1.63182599          43
160.80341441 -36.62749076  12.65264700   1.15252817  18.44695805   2.02997423          36
159.40609812 -36.58420294  11.86091200  17.75706066  19.72250161   2.01612078          31
182.98968116 -50.84501605  11.41597000  10.57446196  17.93097612   1.32293764          24
142.60550909 -32.51995011  12.33776500  60.87533065  17.48105995   2.04764095          33
143.15643629 -32.66145864  12.32614100  -4.40032397  19.54843794   1.55713783          22
279.72721827 -57.32247438  13.18562500 -17.81639707  18.78239566   2.54139945          23
155.77528237  59.51023671  11.90000600 -70.52358123  18.20192193   2.97405297          34
 78.04193478 -65.69166048  12.93452700  39.56397516  19.30031186   3.77233565          36
 77.31011431 -65.00517778  12.95990100  31.31862953  18.90595482   0.94458513          35
 75.58426049 -65.25073608  13.10186700   2.83383650  17.68271017   0.96784950          34
 76.37610038 -65.59684886  12.50144000  18.96435900  17.58507744   2.16030879          34
 76.02590107 -64.79583562  13.50439550  44.26137563  19.02847120   2.56882213          30
137.15135205 -31.25241711  13.20493800  30.07406862  19.18751982   0.84558430          28
