J181401.0-175706 273.50418 -17.95185 6.40000 11.70000 2.25910e-14 1.68000e-14
J181401.1-180012 273.50463 -18.00360 1.79000 103.00000 2.49110e-13 4.16000e-14
J181405.2-175833 273.52201 -17.97604 1.81000 6.88000 6.79960e-15 6.35000e-15
J181405.8-173403 273.52418 -17.56762 2.52000 7.39000 5.37920e-14 6.66000e-14
J181410.2-173520 273.54285 -17.58892 1.90000 37.90000 5.92460e-13 1.52000e-13
J181412.7-173357 273.55328 -17.56606 2.53000 8.62000 5.76820e-14 5.54000e-14
J181920.1-204541 274.83391 -20.76149 0.31000 16700.00000 9.41790e-13 2.35000e-14
J181922.0-204536 274.84190 -20.76026 0.41000 988.00000 1.22600e-13 8.75000e-15
J181925.4-204422 274.85597 -20.73945 1.67000 10.70000 9.92060e-15 4.49000e-15
J181931.2-204358 274.88039 -20.73280 1.75000 6.70000 6.55060e-15 3.80000e-15
J181932.0-204804 274.88374 -20.80127 1.42000 22.20000 4.44260e-15 2.26000e-15
J181939.1-204547 274.91326 -20.76317 1.18000 43.40000 7.74070e-15 3.94000e-15
J183659.4-240027 279.24763 -24.00774 0.97000 193.00000 3.89110e-14 9.44000e-15
J183718.8-235958 279.32843 -23.99962 2.73000 9.57000 1.80680e-14 1.47000e-14
J183730.2-071737 279.37584 -7.29378 1.86000 7.29000 7.16100e-15 4.41000e-15
J183731.9-071716 279.38294 -7.28787 0.74000 341.00000 3.61090e-14 4.43000e-15
J183734.6-071838 279.39439 -7.31064 0.68000 493.00000 6.21280e-14 6.68000e-15
J183735.2-071728 279.39693 -7.29122 1.29000 14.30000 4.10170e-14 9.73000e-15
J183736.8-071711 279.40375 -7.28659 1.88000 9.77000 5.71120e-15 3.68000e-15
J183740.4-071706 279.41850 -7.28500 1.71000 11.30000 4.14710e-15 2.72000e-15
J184251.8-035824 280.71600 -3.97350 1.80000 9.36000 6.29470e-15 3.06000e-15
J184300.3-035805 280.75166 -3.96813 1.26000 40.30000 4.33930e-15 1.95000e-15
J184311.4-035951 280.79769 -3.99759 1.89000 6.83000 1.06200e-14 4.95000e-15
J184341.4-032120 280.92279 -3.35582 1.49000 12.10000 3.53000e-14 9.74000e-15
J184821.6-014110 282.09034 -1.68616 1.15000 33.50000 1.82970e-14 3.60000e-15
J184824.8-014243 282.10352 -1.71199 1.51000 15.50000 1.02840e-15 1.46000e-15
J184825.0-014043 282.10424 -1.67880 1.82000 7.32000 1.86220e-15 1.34000e-15
J184832.2-014021 282.13423 -1.67254 1.24000 34.70000 7.33940e-15 2.19000e-15
J185531.5+045432 283.88127 4.90897 2.19000 27.50000 1.09580e-13 2.44000e-14
J192106.0+150203 290.27528 15.03429 1.09000 116.00000 1.96440e-13 2.77000e-14
J192115.7+150159 290.31580 15.03313 1.03000 82.50000 2.23790e-14 6.15000e-15
J192129.5+145918 290.37317 14.98847 2.13000 6.23000 5.84310e-15 5.49000e-15
J192135.7+150638 290.39898 15.11081 1.87000 18.10000 4.14010e-15 1.55000e-14
J192137.6+150520 290.40699 15.08905 2.25000 8.73000 7.76100e-14 3.46000e-14
J203315.2+434914 308.31352 43.82078 3.14000 22.80000 1.07930e-13 5.17000e-14
J205742.2+434723 314.42588 43.78982 0.93000 35.90000 8.55240e-15 4.86000e-15
J205745.0+434841 314.43753 43.81139 0.54000 204.00000 2.53470e-14 4.84000e-15
J205748.7+435023 314.45324 43.83981 0.41000 735.00000 4.04670e-14 3.81000e-15
J205750.8+435233 314.46206 43.87607 1.07000 10.70000 1.98770e-14 5.20000e-15
J205754.6+434935 314.47759 43.82665 0.88000 93.70000 9.59990e-15 3.55000e-15
J205755.3+434954 314.48053 43.83193 1.55000 8.63000 7.58100e-15 5.90000e-15
J205756.5+435235 314.48576 43.87654 0.67000 95.90000 1.45150e-14 3.36000e-15
J205757.5+435008 314.48961 43.83582 0.50000 407.00000 2.38600e-14 2.64000e-15
J205759.9+435326 314.49964 43.89079 0.94000 78.20000 1.54680e-14 3.65000e-15
J205801.3+434519 314.50564 43.75546 1.19000 30.50000 1.97690e-14 1.13000e-14
J205806.0+434932 314.52508 43.82578 0.64000 117.00000 1.14580e-14 3.35000e-15
J205806.0+435301 314.52528 43.88366 0.54000 211.00000 1.94890e-14 3.20000e-15
J205808.8+434659 314.53699 43.78333 0.49000 1100.00000 1.46330e-13 1.33000e-14
J205809.6+434901 314.54025 43.81713 1.26000 21.10000 2.60050e-14 7.28000e-15
J205810.0+434537 314.54167 43.76034 1.36000 39.90000 2.04790e-14 7.12000e-15
J210346.7-111517 315.94499 -11.25498 2.26000 6.54000 9.02950e-15 5.69000e-15
J210350.0-111338 315.95848 -11.22734 1.09000 85.50000 3.21410e-14 8.69000e-15
J214652.4+472850 326.71859 47.48067 1.58000 6.08000 2.62650e-14 7.01000e-15
J214655.3+473146 326.73045 47.52946 1.47000 34.50000 3.34310e-15 2.63000e-15
J214656.8+472843 326.73701 47.47866 0.50000 854.00000 4.25520e-14 4.42000e-15
J214659.2+473204 326.74695 47.53456 1.53000 8.79000 1.59450e-14 4.21000e-15
J214659.9+473723 326.74986 47.62313 1.51000 18.70000 5.50840e-15 2.47000e-15
J214702.2+473533 326.75925 47.59259 0.91000 133.00000 3.28640e-14 5.41000e-15
J214702.2+473019 326.75933 47.50536 2.04000 6.18000 3.71440e-15 2.54000e-15
J214719.9+472852 326.83304 47.48114 1.64000 17.60000 7.96140e-15 4.25000e-15
J214720.6+473203 326.83601 47.53441 0.58000 364.00000 4.55340e-14 5.08000e-15
J214720.8+472535 326.83700 47.42648 1.79000 13.10000 3.61900e-15 2.46000e-15
J214722.7+473215 326.84460 47.53752 0.46000 917.00000 1.61780e-13 9.31000e-15
J214723.6+472809 326.84869 47.46931 1.55000 8.41000 5.87550e-15 4.53000e-15
J214724.6+472556 326.85262 47.43236 0.90000 112.00000 2.84430e-14 7.08000e-15
J214726.5+472643 326.86061 47.44538 1.58000 13.50000 6.52500e-15 3.03000e-15
J214726.9+473330 326.86209 47.55854 1.33000 13.60000 1.04750e-14 3.31000e-15
J214729.5+472505 326.87293 47.41814 1.19000 38.00000 1.09050e-14 4.51000e-15
J214732.3+473223 326.88500 47.53997 0.37000 3230.00000 2.27270e-13 9.72000e-15
J214735.7+473038 326.89892 47.51075 0.74000 185.00000 3.29380e-14 4.88000e-15
J220942.0+592422 332.42524 59.40621 2.51000 6.01000 1.94690e-14 1.42000e-14
J220946.3+592251 332.44331 59.38083 2.31000 6.72000 6.22950e-14 2.36000e-14
J220948.4+592616 332.45185 59.43798 0.47000 221.00000 1.25920e-13 1.22000e-14
J220949.9+592805 332.45825 59.46811 2.16000 11.90000 6.35570e-15 8.21000e-15
J220950.2+592754 332.45952 59.46520 1.49000 29.20000 2.14600e-14 7.46000e-15
J220951.9+592208 332.46651 59.36898 2.11000 11.20000 7.22330e-15 4.10000e-15
J220955.1+592640 332.47965 59.44459 2.08000 6.85000 4.54280e-14 1.79000e-14
J220955.5+592448 332.48152 59.41352 0.87000 43.70000 1.53020e-14 3.43000e-15
J221000.3+592616 332.50160 59.43794 2.01000 6.35000 1.46850e-14 6.38000e-15
J221004.1+592425 332.51745 59.40707 2.16000 7.26000 3.47750e-15 3.04000e-15
J221005.3+592821 332.52244 59.47270 2.17000 8.67000 2.53470e-15 3.13000e-15
J221006.4+592831 332.52670 59.47548 1.87000 9.78000 1.35990e-14 5.90000e-15
J221007.4+592327 332.53094 59.39088 0.78000 44.90000 4.25630e-15 1.33000e-15
J221008.2+592808 332.53423 59.46890 2.14000 8.97000 4.00260e-15 1.72000e-15
J221014.2+592211 332.55924 59.36994 1.55000 8.86000 3.95820e-15 3.42000e-15
J221015.5+592140 332.56481 59.36134 0.90000 25.30000 2.75560e-15 1.24000e-15
J221016.7+592828 332.56967 59.47471 1.68000 19.10000 6.17040e-15 3.94000e-15
J221022.0+592713 332.59192 59.45388 1.06000 14.10000 2.65100e-15 1.06000e-15
J221022.9+592318 332.59546 59.38836 2.47000 8.79000 1.39810e-14 5.29000e-15
J221023.9+592636 332.59998 59.44350 2.14000 8.56000 4.49100e-15 3.01000e-15
J221025.1+592624 332.60462 59.44007 0.80000 22.30000 6.91150e-15 1.75000e-15
J235641.4+681335 359.17255 68.22658 1.90000 37.70000 3.99760e-14 2.36000e-14
J235646.4+681357 359.19370 68.23276 2.52000 15.20000 1.07150e-13 4.53000e-14
J235658.5+681124 359.24386 68.19008 1.89000 6.26000 8.67020e-15 7.84000e-15
