MJD mag magerr flux fluxerr
58601.4169145949 2.8087621254 0.0397639818 0.0752480327 0.0027559744
58601.4169377431 2.8295465538 0.0402267373 0.0738212472 0.0027351828
58601.4169608912 2.8397893533 0.0411501899 0.0731280948 0.0027717003
58601.4169840394 2.7834978756 0.0390272587 0.0770195275 0.0027685926
58601.4170071875 2.8106850747 0.040656344 0.0751148787 0.0028128363
58601.4170303357 2.8100822286 0.0403605042 0.0751565972 0.0027939193
58601.4170534838 2.8463978982 0.0416262721 0.0726843382 0.0027867533
58601.4170766319 2.7602893062 0.0391900317 0.0786836101 0.0028402074
58601.4170997801 2.7884365331 0.0402062114 0.0766699865 0.0028392831
58601.4171229282 2.7608317648 0.0393718103 0.0786443078 0.0028519561
58601.4171460764 2.793566409 0.0406010112 0.0763085913 0.0028536483
58601.4171692245 2.7652980035 0.0399912399 0.0783214643 0.0028849337
58601.4171923727 2.7359667164 0.0392815764 0.0804661669 0.0029113364
58601.4172155208 2.7166378955 0.0386600914 0.081911493 0.0029167411
58601.417238669 2.7570648458 0.0401016758 0.078917635 0.0029149207
58601.4172618171 2.7801030621 0.0421912836 0.0772607243 0.0030024216
58601.4172849653 2.7043759212 0.040680992 0.08284182 0.0031040687
58601.4173081134 2.7257709428 0.0430639423 0.0812253559 0.0032217777
58601.4173312616 2.6948115939 0.0437178667 0.0835748032 0.0033653054
58601.4173544097 2.7092886625 0.0491771497 0.0824678239 0.0037354081
58601.4173775579 2.6690468641 0.0507998816 0.085581768 0.0040043692
58601.417400706 2.6689204653 0.0531314397 0.0855917318 0.0041886451
58601.4174238542 2.6924918582 0.0530410891 0.0837535563 0.0040917195
58601.4174470023 2.6920228548 0.0481586487 0.083789743 0.0037166812
58601.4174701505 2.7198429768 0.0479272712 0.0816700477 0.0036052524
58601.4174932986 2.7013738898 0.0463023674 0.0830711923 0.0035427769
58601.4175164468 2.7349668421 0.0441647987 0.0805403037 0.00327627
58601.4175395949 2.6918497479 0.0427379199 0.0838031032 0.0032988582
58601.4175627431 2.6665119078 0.0421105309 0.0857818162 0.0033271786
58601.4175858912 2.7504842407 0.0432655794 0.0793974042 0.0031640183
58601.4176090394 2.7757575955 0.044493957 0.0775705663 0.0031789826
58601.4176321875 2.7252476876 0.0418807595 0.0812645107 0.0031347697
58601.4176553357 2.7278467894 0.0411603806 0.0810702074 0.0030734831
58601.4176784838 2.6865169854 0.0398187977 0.0842157277 0.00308867
58601.4177016319 2.7537724152 0.0414337402 0.0791573112 0.0030208929
58601.4177247801 2.7571091273 0.0399013463 0.0789144164 0.0029002408
58601.4177479282 2.6959029276 0.0380084322 0.0834908397 0.0029228663
