MJD mag magerr flux fluxerr
58560.4816116319 2.8496516188 0.0492601129 0.0724668448 0.0032879478
58560.4817162153 2.7872777831 0.0474218062 0.0767518561 0.0033524101
58560.4818207986 2.8515758114 0.0493754352 0.0723385294 0.0032898097
58560.4819252894 2.804410363 0.0486453992 0.0755502411 0.0033850711
58560.4820298611 2.7628993782 0.0467914034 0.0784946846 0.003382957
58560.4821343981 2.8753362176 0.0504928439 0.070772659 0.0032914367
58560.4822389468 2.8622149199 0.0504087325 0.0716331472 0.003325906
58560.4823435532 2.8031145382 0.0481767013 0.0756404641 0.0033564595
58560.4824480671 2.8629327935 0.0505114533 0.0715858 0.0033304806
58560.4825526389 2.8760755597 0.0510879399 0.0707244821 0.0033279618
58560.4826572106 2.8481970325 0.0488861903 0.0725639954 0.0032673642
58560.4827617593 2.788263739 0.04752421 0.0766821894 0.0033565999
58560.4828663194 2.8699568865 0.0497922782 0.0711241756 0.0032618907
58560.4829708681 2.8031785901 0.0474339702 0.0756360019 0.0033045186
58560.4830754398 2.9321740879 0.0522358347 0.067163043 0.0032313877
58560.4831800116 2.7647913039 0.0460626847 0.0783580245 0.0033244736
58560.4832845949 2.7597524186 0.0454750917 0.0787225281 0.0032973328
58560.4833891667 2.8239049006 0.0482153026 0.0742058322 0.0032954376
58560.4834937616 2.8309553742 0.0482162335 0.073725521 0.0032741705
58560.4835982639 2.8026047849 0.0480850731 0.0756759856 0.003351649
58560.4837028935 2.7620456696 0.0460641706 0.0785564288 0.0033329987
58560.4838074421 2.8259171903 0.048270912 0.0740684274 0.0032931294
58560.4839119213 2.8506790381 0.0490690339 0.0723983027 0.0032720961
58560.4840164699 2.8504986612 0.0490699596 0.0724103315 0.0032727015
58560.4841210417 2.8289490567 0.0484258882 0.0738618834 0.0032944896
58560.4842256134 2.8288846233 0.0482814293 0.0738662669 0.0032848567
58560.4843301852 2.807937001 0.0479387584 0.0753052405 0.0033250803
58560.4844347222 2.816443371 0.0491261438 0.0747175549 0.0033808468
58560.4845393056 2.8065427747 0.0479371244 0.0754020043 0.0033292394
58560.4846438889 2.80406038 0.0474069184 0.0755745984 0.0032999529
58560.4847484028 2.8422330453 0.0491553324 0.0729636887 0.0033034488
58560.484852963 2.8319436431 0.0480955725 0.0736584444 0.0032630055
58560.4849575579 2.8294609831 0.0489934583 0.0738270656 0.003331531
58560.4850621528 2.7604045665 0.0461022271 0.0786752576 0.0033407982
58560.485166713 2.8201812342 0.0489307919 0.0744607671 0.0033558297
58560.4852712153 2.8135251402 0.0472548815 0.0749186502 0.0032608197
58560.4853757755 2.8049070253 0.0476460882 0.0755156891 0.003314016
58560.4854803704 2.9027036776 0.0510890734 0.0690110331 0.003247407
58560.4855850463 2.8253573487 0.0486978443 0.0741066294 0.003323969
58560.4856895255 2.8132084735 0.0478393355 0.0749405042 0.0033021128
58560.4857941898 2.8468926548 0.0488585981 0.0726512244 0.0032694455
58560.4858985995 2.8321496046 0.0485939536 0.0736444729 0.0032961924
58560.4860031482 2.8328822746 0.0479473981 0.0735947933 0.0032501417
58560.4861077199 2.8355302374 0.0475221459 0.0734155244 0.003213469
58560.4862122454 2.8607437168 0.0489581273 0.0717302779 0.0032345768
58560.4863168403 2.7484906091 0.044979034 0.0795433278 0.0032953689
58560.4864213657 2.8919579857 0.0505236447 0.0696974366 0.0032434084
58560.4865259722 2.8877468568 0.0493430072 0.0699682896 0.0031799261
58560.4866305787 2.80822653 0.0463581095 0.0752851618 0.0032145876
58560.4867352083 2.8321390867 0.048314167 0.0736451863 0.0032772459
58560.4868396181 2.8267599779 0.0480501329 0.0740109551 0.0032755238
58560.4869441782 2.9337272072 0.052125309 0.0670670366 0.0032199411
58560.4870487616 2.8373391732 0.0480706856 0.0732933092 0.0032451502
58560.4871533449 2.853957607 0.0482707892 0.0721800132 0.0032091611
58560.4872579514 2.8449892218 0.0478560894 0.0727787029 0.0032079802
58560.4873624653 2.8978310191 0.0502319711 0.0693214427 0.0032072881
