MJD mag magerr flux fluxerr
58703.3917049608 2.7750468542 0.032234145 0.0776213619 0.0023045576
58703.3917396966 2.8136756363 0.0332599398 0.0749082663 0.0022947816
58703.3917744324 2.7806996872 0.0319051468 0.0772182803 0.0022691909
58703.3918091682 2.82443049 0.0331885499 0.0741699189 0.0022672857
58703.391843904 2.7377750525 0.0316053715 0.0803322588 0.0023385197
58703.3918786398 2.7960729716 0.0323323087 0.0761326262 0.002267241
58703.3919133756 2.8343408432 0.0331022386 0.0734959931 0.0022408418
58703.3919481114 2.78740171 0.0325009542 0.0767430961 0.0022973417
58703.3919828472 2.7455768027 0.0311732265 0.0797570861 0.0022900301
58703.392017583 2.7635162733 0.0313551215 0.078450098 0.0022656465
58703.3920523188 2.8000024877 0.0327976828 0.0758575837 0.0022915658
58703.3920870546 2.7611908095 0.0316188678 0.078618305 0.0022896028
58703.3921217904 2.7354557759 0.0314168627 0.0805040426 0.0023295426
58703.3921565262 2.8098609108 0.03297624 0.0751719187 0.0022832157
58703.392191262 2.7724045996 0.0316866017 0.0778104918 0.0022709313
58703.3922259978 2.8363396343 0.0334568668 0.0733608148 0.0022606825
58703.3922607336 2.7757842914 0.0322506714 0.077568659 0.0023041736
58703.3922954694 2.7447891548 0.0313767043 0.0798149669 0.0023066507
58703.3923302052 2.8015067674 0.0323408798 0.0757525563 0.0022565205
58703.392364941 2.7774541713 0.0319838214 0.0774494488 0.0022815965
58703.3923996768 2.8270386408 0.0334896153 0.073991962 0.0022823638
58703.3924344126 2.8128375823 0.0327110319 0.0749661085 0.0022586523
58703.3924691484 2.7597509681 0.0318261554 0.0787226333 0.0023076713
58703.3925038842 2.7726783102 0.0319963932 0.0777908785 0.0022925555
58703.39253862 2.7975428043 0.0321974193 0.0760296302 0.0022547277
58703.3925733558 2.7966589757 0.0324137844 0.0760915463 0.0022717279
58703.3926080916 2.7895802962 0.0325184281 0.0765892614 0.0022939692
58703.3926428274 2.7542854686 0.0317094769 0.0791199151 0.0023108143
58703.3926775632 2.800384206 0.0326367137 0.0758309187 0.0022795173
58703.392712299 2.7908534629 0.0323121195 0.0764995032 0.0022767441
58703.3927470348 2.7503365904 0.0312383914 0.0794082022 0.0022847789
58703.3927817706 2.7469333791 0.0312404126 0.0796574956 0.0022921001
58703.3928165064 2.7970092068 0.0324226744 0.076067005 0.0022716181
58703.3928512422 2.7819997507 0.0321975381 0.0771258742 0.0022872463
58703.392885978 2.7824781512 0.0323088642 0.0770918983 0.0022941436
58703.3929207138 2.7820060009 0.0321041364 0.0771254302 0.0022805981
58703.3929554496 2.7487430598 0.0313364762 0.0795248349 0.0022953192
58703.3929901854 2.7676666475 0.0320252956 0.0781507843 0.0023052427
58703.3930249212 2.8141298069 0.0327036164 0.0748769382 0.0022554542
58703.393059657 2.8054562249 0.0326133875 0.0754775006 0.0022672718
58703.3930943928 2.7986879411 0.0323179216 0.0759494833 0.0022607806
58703.3931291285 2.7679852374 0.031698956 0.0781278557 0.0022810827
58703.3931638643 2.7597813298 0.0318197771 0.0787204319 0.0023071443
58703.3931986001 2.7450099807 0.0313180899 0.0797987352 0.0023018734
58703.3932333359 2.7747694263 0.0316557064 0.0776411983 0.002263781
58703.3932680717 2.7725187768 0.0316184392 0.0778023096 0.0022658079
58703.3933028075 2.7885459981 0.0322470745 0.0766622569 0.002276995
58703.3933375433 2.7606726846 0.0316018695 0.0786558314 0.0022894642
58703.3933722791 2.7209554253 0.0310221258 0.0815864112 0.0023312001
58703.3934070149 2.7984694202 0.0327017247 0.0759647708 0.0022880897
58703.3934417507 2.7990019242 0.0326719459 0.0759275227 0.0022848852
58703.3934764865 2.8111805107 0.0327216492 0.0750806106 0.0022628363
58703.3935112223 2.7733635768 0.0320724726 0.077741796 0.0022965567
58703.3935459581 2.7758100687 0.0322368809 0.0775668174 0.0023031337
58703.3935806939 2.792254904 0.0320546227 0.0764008233 0.0022556872
58703.3936154297 2.7790535434 0.0320604354 0.0773354439 0.0022836953
58703.3936614005 2.7599223324 0.0316612445 0.0787102093 0.0022953516
58703.3936961363 2.7848804156 0.0324374377 0.0769215158 0.0022981826
58703.3937308721 2.7489697983 0.0317341722 0.0795082291 0.0023239641
58703.3937656079 2.7894721662 0.0326274703 0.0765968894 0.0023018907
58703.3938003437 2.777563305 0.0317418627 0.0774416643 0.0022641086
58703.3938350795 2.8156698608 0.0334439226 0.0747708049 0.0023032412
58703.3938698153 2.7696496611 0.0323279544 0.0780081782 0.0023227824
58703.3939045511 2.8008268654 0.0326370913 0.0758000084 0.0022786145
58703.3939392869 2.7974444663 0.0323233343 0.0760365167 0.0022637503
58703.3939740227 2.773600745 0.0318901769 0.0777248159 0.0022830046
58703.3940087584 2.7851060424 0.0320762411 0.0769055324 0.0022721197
58703.3940434942 2.7931853569 0.0321155056 0.0763353774 0.0022580356
58703.39407823 2.8732243744 0.0341782244 0.0709104514 0.0022322864
58703.3941129658 2.7866954921 0.0321782684 0.0767930299 0.0022760125
58703.3941477016 2.8176949604 0.0330736614 0.0746314734 0.0022734974
58703.3941824374 2.8341515328 0.0333911119 0.0735088091 0.0022607911
58703.3942171732 2.816576903 0.0332604199 0.0747083662 0.0022886908
58703.394251909 2.7826973654 0.0322873233 0.0770763347 0.0022921512
58703.3942866448 2.7528273278 0.0314157741 0.0792262443 0.0022924876
58703.3943213806 2.8162486809 0.0332140706 0.0747309542 0.0022861925
58703.3943561164 2.8242981308 0.0331119796 0.0741789613 0.0022623305
58703.3943908522 2.8160160997 0.0328607088 0.0747469644 0.0022623545
58703.394425588 2.8356933559 0.0335329634 0.0734044954 0.0022671735
58703.3944603238 2.7438835826 0.0312701312 0.0798815654 0.0023007341
